generation,best_individual_fitness,mean_fitness,tree
0,572.0518855019068,1105.94487,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ (- (min PT SLACK) (* NPT SLACK)) (* (exp _10) (* TimeTillDue TimeTillDue)))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
1,461.4733263560127,927.49898,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ (- (min PT SLACK) (* NPT SLACK)) _0)) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
2,252.1723194983575,819.90565,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (- (* (+ _0.1 _0.1) (max TimeInQueue WINQ)) (exp (min PT _10))) (max (exp (max NPT TimeTillDue)) (max (- TimeInQueue _1) (if _0.5 _0 TimeTillDue))))))"
3,252.1723194983575,864.77454,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (- (* (+ _0.1 _0.1) (max TimeInQueue WINQ)) (exp (min PT _10))) (max (exp (max NPT TimeTillDue)) (max (- TimeInQueue _1) (if _0.5 _0 TimeTillDue))))))"
4,250.03242018550267,633.38988,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ ODD (+ _5 _5))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
5,249.06251903838213,767.67933,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
6,249.06251903838213,629.11515,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
7,249.06251903838213,743.90802,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
8,249.06251903838213,674.61243,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
9,249.06251903838213,647.74046,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if (min _0.1 _2) PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
10,249.06251903838213,560.04117,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
11,249.06251903838213,623.97692,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (if NPT TimeInSystem TimeInSystem) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
12,249.06251903838213,647.76126,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _5 _5)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (- (max _1 _1) (exp _0.1)))) (- (max _1 _1) (exp _0.1)))))"
13,249.06251903838213,613.01614,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT (exp _0)) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* _0.1 (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (if NPT TimeInSystem TimeInSystem)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
14,249.06251903838213,505.60987,"(* (- (- (min (if NPT TimeInSystem (min ODD LLD)) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT (if _1 PT OpsLeft)))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
15,249.06251903838213,567.51322,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (min (exp (/ _0 OpsLeft)) (if RemProcTime PT _0.5)) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- TimeInSystem (if NPT TimeInSystem TimeInSystem)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
16,249.06251903838213,578.40695,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _5 _5)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 (+ (/ _0.5 SSD) (max _5 _0.5))) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _0.1 PT OpsLeft))) (min (if (+ (exp _10) (+ _2 _1)) (* (exp _10) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (- (max _1 _1) (exp _0.1)))) (- (max _1 _1) (exp _0.1)))))"
17,249.06251903838213,546.08361,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (+ _5 _5)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (exp _0)))) (max (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (- (max _1 _1) (min _0.1 _2)))) (- (max _1 _1) (exp _0.1)))))"
18,248.80452909188548,519.82688,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (+ (exp _10) (if _1 PT OpsLeft))) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
19,248.80452909188548,394.40255,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (+ (exp _10) (if _1 PT OpsLeft))) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
20,248.80452909188548,554.88072,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (+ (exp _10) (if _1 PT OpsLeft))) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
21,248.80452909188548,591.03651,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
22,248.80452909188548,533.08131,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (if _0.5 LLD TimeInQueue) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
23,248.80452909188548,546.09097,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ RemProcTime NPT) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (+ (exp _10) (if _1 PT OpsLeft))) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
24,248.80452909188548,609.88909,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (if _1 PT OpsLeft) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
25,248.80452909188548,612.15734,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (min _0.1 _2)))) (max (- (min _0.5 (+ _5 _1)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (- (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5))) (exp _0.1)) (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (max _5 _0.5) (* (exp _0) _2))))))"
26,248.80449378146204,565.08429,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if _1 PT _0.5) (max _5 _0.5))) (if (+ (exp _10) (exp _10)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (if NPT TimeInSystem TimeInSystem) (exp _0)))) (max (- (min _0.5 (- (min (+ RemProcTime NPT) (+ _5 _1)) (- (/ _0.5 SSD) (if RemProcTime PT _0.5)))) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (if (min _0.1 _2) PT _0.5)) (- (min (if NPT TimeInSystem TimeInSystem) (min (+ RemProcTime NPT) (+ _5 _1))) (+ (if RemProcTime PT _0.5) (max _5 _0.5))))))"
